recommendation	placement	known_policy	clicks	cost_rub	conversions	cpa_rub	conversion_rate_pct	impressions	ad_network_types	campaigns	reason	raw_examples
ok	com.orangeapps.piratetreasure		1.00	1.16	0.00	0.00	0.00	5.00	AD_NETWORK	Портфолио		com.orangeapps.piratetreasure
ok	com.inspiredsquare.jupiter		1.00	1.15	0.00	0.00	0.00	12.00	AD_NETWORK	Портфолио		com.inspiredsquare.jupiter
ok	word.connect.free		1.00	1.04	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		word.connect.free
ok	com.gamovation.tileclub		2.00	0.85	0.00	0.00	0.00	6.00	AD_NETWORK	Портфолио		com.gamovation.tileclub
ok	com.pronetis.ironball2		1.00	0.84	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.pronetis.ironball2
ok	teskin.jewels.planet		1.00	0.83	0.00	0.00	0.00	9.00	AD_NETWORK	Портфолио		teskin.jewels.planet
ok	com.openmygame.games.android.wordsearchsea		1.00	0.68	0.00	0.00	0.00	7.00	AD_NETWORK	Портфолио		com.openmygame.games.android.wordsearchsea
ok	com.blackout.bubble		1.00	0.37	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.blackout.bubble
ok	com.pixel.art.coloring.color.number		1.00	0.37	0.00	0.00	0.00	14.00	AD_NETWORK	Портфолио		com.pixel.art.coloring.color.number
ok	ru.yandex.weatherplugin		0.00	0.00	0.00	0.00	0.00	18.00	AD_NETWORK	Портфолио		 ru.yandex.weatherplugin; ru.yandex.weatherplugin
ok	1lakorny-365.fun		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		1lakorny-365.fun
ok	2ip.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		2ip.ru
ok	4oge.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		4oge.ru
ok	72.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		72.ru
ok	7days.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		7days.ru
ok	adme.media		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		adme.media
ok	afisha.mail.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		afisha.mail.ru
ok	ai-manual.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		ai-manual.ru
ok	ai.character.app		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		ai.character.app
ok	aif.ru		0.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		aif.ru; www.aif.ru
ok	akniga.org		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		akniga.org
ok	alice.yandex.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		alice.yandex.ru
ok	all-library.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		all-library.ru
ok	allwebgames.com		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		allwebgames.com
ok	amd.online		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		amd.online
ok	asvas.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		asvas.ru
ok	at.ner.solitaireklondike		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		at.ner.SolitaireKlondike
ok	audiokniga-online.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		audiokniga-online.ru
ok	audioknigivse.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		audioknigivse.ru
ok	auto.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		auto.ru
ok	avidreaders.ru		0.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		avidreaders.ru
ok	baza-knig.top		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		baza-knig.top
ok	beetles.puzzle.solitaire		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		beetles.puzzle.solitaire
ok	biblioteka-online.org		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		biblioteka-online.org
ok	biblus.org		0.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		biblus.org
ok	bigbookname.com		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		bigbookname.com
ok	blockpuzzle.new1010.jewelgames.puzzlegames		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		blockpuzzle.new1010.jewelgames.puzzlegames
ok	boovell.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		boovell.ru
ok	championat.com		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		championat.com
ok	checko.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		checko.ru
ok	cher-poisk.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		cher-poisk.ru
ok	chess-samara.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		chess-samara.ru
ok	chita.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		chita.ru
ok	cnews.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		cnews.ru
ok	com.almondstudio.scanword		0.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		com.almondstudio.scanword
ok	com.avito.android		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		com.avito.android
ok	com.belkatechnologies.clockmaker		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.belkatechnologies.clockmaker
ok	com.bigcake.android.mahjongmatch		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.bigcake.android.mahjongmatch
ok	com.blockcrush.travelmaster		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		com.blockcrush.travelmaster
ok	com.bubbleshooter.popbubbles.shootbubblesgame		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.bubbleshooter.popbubbles.shootbubblesgame
ok	com.cars.color.sort		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.cars.color.sort
ok	com.chaloapps.roosterrudy		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		com.chaloapps.roosterrudy
ok	com.crypt.gram.puzz		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.crypt.gram.puzz
ok	com.csogames.client.android.app.durak.passing		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.csogames.client.android.app.durak.passing
ok	com.diguotech.numbermatch		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.diguotech.numbermatch
ok	com.dreamgames.royalmatch		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.dreamgames.royalmatch
